order_id,customer_id,order_date
1,77,2024-12-04
2,33,2024-10-31
3,20,2024-07-01
4,90,2024-12-22
5,21,2024-01-30
6,80,2024-09-19
7,23,2024-12-20
8,18,2024-12-15
9,27,2024-06-09
10,42,2024-10-04
11,55,2024-06-20
12,71,2024-02-06
13,40,2024-09-07
14,25,2024-02-23
15,1,2024-07-31
16,91,2024-10-08
17,15,2024-05-26
18,58,2024-09-06
19,69,2024-05-10
20,75,2024-08-23
21,1,2024-01-25
22,34,2024-06-13
23,27,2024-12-15
24,1,2024-02-25
25,75,2024-04-15
26,20,2024-02-15
27,3,2024-09-25
28,62,2024-11-19
29,58,2024-03-15
30,30,2024-11-19
31,54,2024-01-02
32,43,2024-02-06
33,23,2024-11-05
34,56,2024-03-27
35,52,2024-11-04
36,70,2024-11-30
37,52,2024-11-01
38,64,2024-08-29
39,41,2024-01-19
40,4,2024-01-05
41,96,2024-09-30
42,88,2024-02-13
43,98,2024-07-08
44,67,2024-10-13
45,93,2024-04-01
46,49,2024-09-06
47,96,2024-09-21
48,77,2024-08-20
49,90,2024-07-22
50,11,2024-11-03
51,92,2024-01-08
52,38,2024-10-27
53,99,2024-06-17
54,35,2024-05-01
55,64,2024-03-08
56,2,2024-07-09
57,57,2024-04-09
58,66,2024-06-14
59,31,2024-02-27
60,89,2024-12-05
61,1,2024-03-24
62,14,2024-12-29
63,57,2024-11-04
64,53,2024-01-30
65,84,2024-11-30
66,9,2024-09-10
67,21,2024-12-16
68,18,2024-01-05
69,53,2024-07-31
70,35,2024-12-21
71,84,2024-03-30
72,73,2024-11-17
73,24,2024-07-18
74,2,2024-06-07
75,14,2024-05-11
76,41,2024-12-02
77,41,2024-04-10
78,15,2024-12-02
79,17,2024-01-21
80,79,2024-09-28
81,38,2024-08-26
82,14,2024-09-20
83,21,2024-11-04
84,62,2024-07-21
85,93,2024-12-08
86,94,2024-11-03
87,43,2024-07-28
88,61,2024-04-18
89,68,2024-07-02
90,48,2024-11-15
91,95,2024-02-12
92,74,2024-05-04
93,50,2024-06-06
94,69,2024-02-21
95,64,2024-10-07
96,93,2024-05-03
97,91,2024-07-11
98,92,2024-12-26
99,19,2024-12-25
100,37,2024-11-05
101,16,2024-03-26
102,71,2024-10-29
103,3,2024-08-27
104,20,2024-12-25
105,35,2024-10-18
106,94,2024-04-19
107,69,2024-07-03
108,49,2024-11-26
109,7,2024-08-19
110,96,2024-11-23
111,61,2024-05-08
112,93,2024-08-05
113,20,2024-02-29
114,25,2024-09-19
115,88,2024-03-20
116,46,2024-08-20
117,82,2024-02-22
118,29,2024-12-23
119,6,2024-04-30
120,50,2024-06-23
121,91,2024-02-09
122,82,2024-09-24
123,24,2024-12-19
124,14,2024-10-16
125,56,2024-05-16
126,22,2024-12-12
127,11,2024-09-03
128,7,2024-04-11
129,21,2024-03-17
130,43,2024-06-29
131,21,2024-07-07
132,99,2024-05-09
133,84,2024-02-02
134,96,2024-07-09
135,74,2024-02-02
136,25,2024-12-23
137,16,2024-10-25
138,64,2024-09-13
139,63,2024-01-10
140,25,2024-02-19
141,96,2024-05-07
142,89,2024-05-25
143,33,2024-06-10
144,23,2024-10-26
145,41,2024-08-02
146,71,2024-10-10
147,76,2024-06-18
148,5,2024-10-24
149,96,2024-04-25
150,73,2024-08-30
151,16,2024-10-05
152,37,2024-07-20
153,66,2024-08-11
154,10,2024-08-28
155,100,2024-01-06
156,9,2024-05-11
157,56,2024-09-13
158,84,2024-02-03
159,95,2024-06-05
160,33,2024-04-27
161,65,2024-04-02
162,34,2024-12-01
163,59,2024-03-06
164,13,2024-02-11
165,19,2024-07-31
166,36,2024-01-03
167,99,2024-11-25
168,56,2024-01-29
169,73,2024-05-19
170,74,2024-07-16
171,50,2024-11-10
172,82,2024-07-03
173,8,2024-11-11
174,10,2024-11-10
175,4,2024-08-07
176,90,2024-09-06
177,73,2024-08-01
178,75,2024-12-15
179,57,2024-12-08
180,1,2024-03-24
181,12,2024-11-19
182,9,2024-10-05
183,57,2024-07-21
184,7,2024-08-25
185,7,2024-05-08
186,58,2024-11-02
187,47,2024-10-15
188,57,2024-06-08
189,50,2024-03-09
190,45,2024-08-21
191,88,2024-06-12
192,63,2024-10-04
193,95,2024-06-01
194,28,2024-02-09
195,72,2024-04-10
196,23,2024-04-12
197,74,2024-11-06
198,4,2024-08-10
199,96,2024-12-11
200,88,2024-07-05
201,94,2024-03-01
202,1,2024-07-17
203,70,2024-11-03
204,14,2024-02-20
205,29,2024-01-11
206,29,2024-04-24
207,73,2024-09-06
208,25,2024-03-05
209,15,2024-03-12
210,55,2024-02-22
211,8,2024-12-16
212,57,2024-12-13
213,6,2024-06-06
214,99,2024-08-17
215,19,2024-01-19
216,69,2024-04-15
217,39,2024-01-22
218,14,2024-06-28
219,6,2024-10-27
220,94,2024-03-22
221,31,2024-11-04
222,32,2024-01-18
223,30,2024-04-22
224,68,2024-06-11
225,21,2024-09-01
226,75,2024-09-21
227,38,2024-09-22
228,50,2024-04-16
229,98,2024-12-28
230,5,2024-03-23
231,1,2024-05-14
232,82,2024-12-17
233,38,2024-12-28
234,84,2024-03-09
235,44,2024-08-19
236,86,2024-05-17
237,32,2024-06-12
238,29,2024-02-04
239,62,2024-10-14
240,10,2024-02-14
241,32,2024-03-18
242,12,2024-12-10
243,37,2024-01-02
244,93,2024-08-03
245,19,2024-03-04
246,31,2024-01-03
247,12,2024-07-27
248,51,2024-10-17
249,48,2024-12-18
250,42,2024-03-02
251,61,2024-07-14
252,86,2024-08-24
253,69,2024-07-02
254,45,2024-09-26
255,34,2024-06-23
256,38,2024-06-06
257,4,2024-11-16
258,29,2024-10-19
259,15,2024-05-03
260,25,2024-03-23
261,38,2024-03-20
262,96,2024-02-08
263,68,2024-01-15
264,19,2024-10-25
265,53,2024-02-29
266,26,2024-10-04
267,6,2024-12-26
268,78,2024-12-03
269,29,2024-08-30
270,47,2024-04-23
271,18,2024-12-12
272,22,2024-03-29
273,56,2024-01-13
274,52,2024-06-24
275,86,2024-10-23
276,51,2024-02-09
277,1,2024-09-21
278,60,2024-10-12
279,15,2024-05-14
280,42,2024-12-21
281,63,2024-03-07
282,6,2024-09-18
283,42,2024-12-10
284,47,2024-06-21
285,99,2024-07-04
286,59,2024-05-21
287,20,2024-10-24
288,49,2024-12-22
289,44,2024-03-28
290,90,2024-10-06
291,14,2024-05-26
292,59,2024-09-14
293,78,2024-10-13
294,60,2024-08-04
295,20,2024-03-12
296,39,2024-05-10
297,63,2024-01-23
298,43,2024-12-15
299,51,2024-08-19
300,67,2024-05-31
301,9,2024-03-07
302,65,2024-09-14
303,59,2024-10-18
304,24,2024-10-16
305,26,2024-11-26
306,76,2024-01-20
307,1,2024-11-13
308,33,2024-01-13
309,19,2024-11-01
310,62,2024-07-25
311,99,2024-03-23
312,18,2024-03-18
313,54,2024-01-08
314,51,2024-06-14
315,76,2024-05-30
316,81,2024-10-07
317,44,2024-11-15
318,7,2024-09-16
319,36,2024-08-16
320,8,2024-06-23
321,18,2024-06-08
322,67,2024-01-05
323,7,2024-04-19
324,31,2024-08-06
325,10,2024-09-05
326,12,2024-07-18
327,39,2024-04-08
328,21,2024-03-19
329,46,2024-08-21
330,83,2024-03-17
331,58,2024-03-27
332,47,2024-08-11
333,67,2024-06-25
334,43,2024-09-08
335,17,2024-10-02
336,29,2024-02-23
337,89,2024-12-19
338,20,2024-01-31
339,83,2024-11-18
340,94,2024-01-16
341,40,2024-11-07
342,8,2024-11-01
343,95,2024-03-23
344,29,2024-10-07
345,97,2024-07-15
346,79,2024-04-27
347,26,2024-04-14
348,68,2024-07-09
349,59,2024-05-15
350,10,2024-05-06
351,46,2024-04-01
352,88,2024-08-19
353,54,2024-10-09
354,28,2024-01-10
355,33,2024-07-17
356,75,2024-02-09
357,30,2024-02-20
358,82,2024-08-21
359,78,2024-12-08
360,38,2024-01-24
361,20,2024-10-18
362,40,2024-07-25
363,65,2024-07-18
364,80,2024-04-24
365,20,2024-01-16
366,63,2024-12-24
367,5,2024-04-08
368,22,2024-04-11
369,74,2024-11-02
370,100,2024-06-10
371,25,2024-11-17
372,68,2024-09-19
373,58,2024-09-21
374,90,2024-04-25
375,89,2024-06-18
376,68,2024-12-17
377,80,2024-02-09
378,15,2024-05-22
379,53,2024-06-14
380,70,2024-02-14
381,52,2024-03-24
382,60,2024-04-05
383,55,2024-11-30
384,96,2024-01-17
385,36,2024-08-13
386,5,2024-05-09
387,65,2024-02-28
388,87,2024-11-02
389,61,2024-07-03
390,72,2024-01-17
391,10,2024-04-25
392,32,2024-08-15
393,18,2024-12-29
394,46,2024-04-13
395,6,2024-06-08
396,2,2024-10-06
397,78,2024-08-06
398,67,2024-07-03
399,55,2024-03-14
400,38,2024-04-03
401,17,2024-01-23
402,82,2024-11-16
403,95,2024-02-07
404,68,2024-01-20
405,26,2024-02-09
406,79,2024-07-30
407,56,2024-01-16
408,55,2024-08-08
409,39,2024-02-09
410,39,2024-08-11
411,90,2024-08-26
412,58,2024-11-25
413,80,2024-04-15
414,5,2024-05-11
415,67,2024-03-25
416,17,2024-02-21
417,21,2024-08-01
418,33,2024-11-06
419,30,2024-11-24
420,64,2024-06-13
421,36,2024-06-08
422,12,2024-04-03
423,95,2024-12-11
424,91,2024-08-31
425,64,2024-03-05
426,98,2024-04-30
427,74,2024-09-07
428,23,2024-02-01
429,75,2024-06-17
430,8,2024-01-02
431,79,2024-12-04
432,27,2024-07-25
433,3,2024-05-31
434,1,2024-10-16
435,95,2024-05-05
436,89,2024-05-25
437,34,2024-06-27
438,44,2024-09-13
439,21,2024-12-05
440,3,2024-05-04
441,64,2024-02-21
442,81,2024-08-10
443,63,2024-04-23
444,67,2024-05-28
445,4,2024-12-11
446,63,2024-04-21
447,65,2024-04-23
448,63,2024-03-01
449,97,2024-05-04
450,81,2024-12-24
451,52,2024-08-08
452,50,2024-08-26
453,79,2024-12-19
454,49,2024-07-14
455,21,2024-06-06
456,54,2024-05-18
457,29,2024-04-24
458,71,2024-07-24
459,72,2024-11-12
460,21,2024-05-27
461,42,2024-11-14
462,11,2024-12-04
463,32,2024-10-08
464,92,2024-04-13
465,67,2024-06-23
466,40,2024-07-17
467,54,2024-01-14
468,59,2024-10-20
469,27,2024-12-03
470,82,2024-04-27
471,16,2024-10-14
472,49,2024-01-25
473,88,2024-03-02
474,22,2024-07-31
475,27,2024-07-27
476,7,2024-08-13
477,90,2024-08-07
478,34,2024-11-06
479,27,2024-10-09
480,7,2024-01-11
481,94,2024-07-28
482,8,2024-08-25
483,4,2024-03-15
484,93,2024-12-30
485,24,2024-02-29
486,12,2024-02-04
487,12,2024-04-23
488,21,2024-01-29
489,79,2024-09-04
490,5,2024-03-07
491,78,2024-05-07
492,41,2024-12-27
493,73,2024-08-27
494,11,2024-07-23
495,49,2024-09-26
496,25,2024-12-28
497,25,2024-03-25
498,44,2024-06-24
499,10,2024-01-11
500,86,2024-03-17
501,48,2024-10-01
502,33,2024-05-15
503,89,2024-04-24
504,91,2024-08-03
505,24,2024-05-25
506,30,2024-04-11
507,51,2024-09-02
508,86,2024-04-07
509,77,2024-01-15
510,90,2024-05-05
511,5,2024-03-10
512,82,2024-07-04
513,10,2024-12-09
514,43,2024-04-19
515,23,2024-03-27
516,51,2024-10-26
517,59,2024-06-12
518,50,2024-02-18
519,18,2024-06-23
520,87,2024-11-16
521,81,2024-05-29
522,62,2024-11-10
523,46,2024-09-01
524,100,2024-12-26
525,95,2024-10-01
526,93,2024-05-17
527,11,2024-05-26
528,70,2024-04-04
529,21,2024-04-09
530,74,2024-11-16
531,17,2024-03-14
532,52,2024-12-15
533,25,2024-05-08
534,4,2024-02-07
535,43,2024-10-17
536,72,2024-03-05
537,75,2024-03-18
538,82,2024-06-03
539,68,2024-02-15
540,60,2024-07-30
541,13,2024-11-16
542,2,2024-06-15
543,23,2024-09-29
544,7,2024-01-31
545,23,2024-11-09
546,64,2024-07-30
547,1,2024-04-15
548,44,2024-04-15
549,15,2024-11-13
550,91,2024-11-26
551,83,2024-05-30
552,59,2024-08-30
553,59,2024-12-03
554,87,2024-07-29
555,28,2024-08-20
556,37,2024-11-25
557,43,2024-05-27
558,76,2024-07-25
559,56,2024-02-05
560,82,2024-10-10
561,45,2024-11-23
562,15,2024-01-10
563,71,2024-06-03
564,2,2024-10-27
565,6,2024-10-23
566,90,2024-01-08
567,44,2024-02-07
568,21,2024-09-27
569,8,2024-03-03
570,62,2024-07-26
571,100,2024-04-13
572,43,2024-04-10
573,10,2024-09-01
574,6,2024-04-05
575,15,2024-12-03
576,21,2024-03-26
577,57,2024-02-14
578,92,2024-03-15
579,29,2024-10-15
580,12,2024-03-14
581,66,2024-09-04
582,43,2024-02-03
583,19,2024-08-21
584,65,2024-04-23
585,62,2024-02-23
586,89,2024-01-01
587,35,2024-09-13
588,50,2024-05-12
589,34,2024-07-24
590,83,2024-06-14
591,78,2024-07-08
592,28,2024-10-23
593,24,2024-09-29
594,2,2024-11-07
595,22,2024-07-01
596,87,2024-10-29
597,56,2024-04-06
598,67,2024-07-17
599,72,2024-12-18
600,67,2024-06-06
601,16,2024-06-29
602,100,2024-07-03
603,54,2024-02-24
604,15,2024-04-09
605,94,2024-11-04
606,44,2024-08-12
607,79,2024-01-26
608,100,2024-10-11
609,91,2024-03-04
610,16,2024-04-11
611,92,2024-09-29
612,98,2024-08-26
613,34,2024-09-09
614,48,2024-04-11
615,99,2024-01-29
616,44,2024-12-14
617,46,2024-06-06
618,79,2024-08-10
619,71,2024-09-06
620,31,2024-06-29
621,56,2024-04-08
622,70,2024-09-04
623,31,2024-06-19
624,44,2024-10-06
625,53,2024-04-29
626,7,2024-05-02
627,49,2024-05-28
628,59,2024-09-20
629,85,2024-01-16
630,70,2024-05-02
631,60,2024-12-20
632,8,2024-06-08
633,98,2024-07-26
634,92,2024-11-12
635,60,2024-05-15
636,7,2024-03-27
637,97,2024-02-21
638,80,2024-07-23
639,41,2024-05-14
640,61,2024-12-08
641,88,2024-07-19
642,13,2024-12-20
643,48,2024-06-27
644,1,2024-07-27
645,84,2024-06-20
646,84,2024-10-05
647,32,2024-04-17
648,53,2024-09-21
649,6,2024-02-02
650,30,2024-03-15
651,14,2024-01-26
652,95,2024-07-03
653,70,2024-12-23
654,81,2024-01-23
655,91,2024-05-02
656,97,2024-10-25
657,20,2024-07-10
658,4,2024-08-07
659,91,2024-09-22
660,92,2024-05-20
661,19,2024-10-14
662,38,2024-07-05
663,44,2024-08-16
664,83,2024-04-10
665,89,2024-07-31
666,27,2024-08-06
667,19,2024-02-18
668,11,2024-02-21
669,39,2024-06-29
670,33,2024-02-21
671,73,2024-03-21
672,92,2024-12-03
673,87,2024-07-26
674,24,2024-06-23
675,68,2024-12-18
676,79,2024-01-11
677,79,2024-11-04
678,87,2024-10-20
679,42,2024-08-28
680,6,2024-04-21
681,36,2024-11-10
682,25,2024-08-22
683,48,2024-06-12
684,82,2024-10-01
685,30,2024-03-26
686,28,2024-09-07
687,60,2024-12-01
688,81,2024-04-08
689,94,2024-11-13
690,55,2024-02-05
691,87,2024-01-15
692,61,2024-11-17
693,61,2024-05-19
694,11,2024-05-09
695,47,2024-04-10
696,97,2024-01-10
697,23,2024-01-09
698,46,2024-03-21
699,73,2024-12-23
700,72,2024-08-12
701,95,2024-11-22
702,63,2024-06-12
703,37,2024-06-19
704,25,2024-11-01
705,45,2024-09-18
706,25,2024-02-03
707,72,2024-04-14
708,30,2024-08-13
709,21,2024-02-24
710,15,2024-04-08
711,92,2024-10-09
712,12,2024-04-07
713,99,2024-02-15
714,67,2024-12-10
715,73,2024-10-17
716,81,2024-08-14
717,71,2024-08-20
718,10,2024-07-15
719,43,2024-06-26
720,18,2024-05-28
721,52,2024-05-01
722,14,2024-09-01
723,96,2024-09-28
724,87,2024-02-04
725,88,2024-02-03
726,84,2024-11-22
727,98,2024-03-06
728,98,2024-05-06
729,81,2024-12-23
730,49,2024-06-22
731,93,2024-03-18
732,29,2024-10-13
733,8,2024-01-02
734,81,2024-01-04
735,63,2024-02-14
736,73,2024-04-02
737,9,2024-09-08
738,19,2024-11-03
739,67,2024-10-12
740,93,2024-04-13
741,64,2024-05-05
742,81,2024-12-26
743,54,2024-09-10
744,88,2024-04-16
745,84,2024-04-25
746,7,2024-05-24
747,77,2024-08-25
748,96,2024-10-24
749,22,2024-08-24
750,59,2024-12-18
751,9,2024-07-14
752,42,2024-06-17
753,7,2024-12-09
754,52,2024-10-03
755,24,2024-11-30
756,87,2024-07-30
757,31,2024-10-11
758,99,2024-08-08
759,6,2024-06-10
760,7,2024-12-27
761,76,2024-10-24
762,81,2024-08-07
763,58,2024-01-23
764,60,2024-10-07
765,8,2024-01-24
766,10,2024-04-11
767,11,2024-09-13
768,19,2024-10-31
769,61,2024-07-16
770,89,2024-10-13
771,28,2024-01-13
772,35,2024-08-10
773,2,2024-03-28
774,17,2024-02-02
775,96,2024-07-06
776,70,2024-12-12
777,66,2024-05-27
778,8,2024-02-29
779,59,2024-06-14
780,50,2024-02-21
781,21,2024-08-02
782,33,2024-11-18
783,43,2024-06-27
784,17,2024-05-07
785,26,2024-03-25
786,39,2024-03-26
787,2,2024-05-13
788,79,2024-10-27
789,77,2024-05-06
790,45,2024-03-07
791,59,2024-05-11
792,7,2024-03-21
793,92,2024-11-30
794,85,2024-06-13
795,73,2024-04-13
796,25,2024-05-13
797,10,2024-05-14
798,57,2024-09-23
799,95,2024-07-18
800,90,2024-10-30
801,48,2024-11-12
802,93,2024-01-02
803,26,2024-04-05
804,55,2024-12-05
805,3,2024-04-30
806,59,2024-11-28
807,82,2024-05-02
808,24,2024-03-05
809,17,2024-04-24
810,7,2024-05-27
811,81,2024-10-29
812,72,2024-02-09
813,39,2024-08-05
814,83,2024-05-03
815,22,2024-01-25
816,69,2024-03-20
817,5,2024-07-23
818,68,2024-09-04
819,38,2024-11-07
820,14,2024-02-07
821,12,2024-04-03
822,95,2024-12-18
823,99,2024-01-14
824,23,2024-01-07
825,42,2024-12-30
826,77,2024-10-26
827,82,2024-08-08
828,59,2024-02-07
829,77,2024-07-08
830,30,2024-12-03
831,73,2024-11-15
832,20,2024-05-01
833,10,2024-06-15
834,1,2024-08-29
835,29,2024-06-10
836,36,2024-06-17
837,24,2024-10-19
838,29,2024-01-17
839,36,2024-08-25
840,19,2024-12-25
841,36,2024-10-29
842,8,2024-11-26
843,29,2024-09-19
844,74,2024-07-09
845,41,2024-06-18
846,11,2024-02-12
847,28,2024-01-07
848,27,2024-04-18
849,68,2024-06-20
850,34,2024-04-06
851,32,2024-10-13
852,99,2024-07-20
853,81,2024-05-23
854,55,2024-07-12
855,3,2024-07-10
856,55,2024-03-05
857,24,2024-08-28
858,59,2024-12-07
859,94,2024-11-08
860,48,2024-10-27
861,69,2024-12-15
862,73,2024-10-07
863,67,2024-12-30
864,2,2024-01-27
865,33,2024-05-24
866,2,2024-11-15
867,34,2024-01-18
868,24,2024-01-12
869,46,2024-03-05
870,52,2024-01-22
871,75,2024-07-11
872,42,2024-06-22
873,15,2024-04-18
874,5,2024-05-09
875,63,2024-01-25
876,46,2024-01-29
877,3,2024-11-26
878,45,2024-07-04
879,21,2024-07-08
880,98,2024-04-20
881,59,2024-01-17
882,46,2024-02-20
883,33,2024-03-18
884,9,2024-10-21
885,78,2024-06-05
886,84,2024-11-23
887,98,2024-03-09
888,1,2024-06-18
889,31,2024-02-16
890,74,2024-04-08
891,16,2024-12-16
892,35,2024-10-27
893,10,2024-01-05
894,77,2024-10-19
895,71,2024-02-21
896,58,2024-06-12
897,52,2024-03-26
898,64,2024-06-12
899,35,2024-05-19
900,88,2024-03-19
901,47,2024-09-01
902,97,2024-10-19
903,13,2024-03-18
904,69,2024-10-19
905,95,2024-04-21
906,71,2024-08-11
907,95,2024-11-13
908,53,2024-01-04
909,49,2024-05-15
910,42,2024-12-24
911,66,2024-04-22
912,59,2024-01-04
913,30,2024-06-08
914,31,2024-03-18
915,15,2024-02-02
916,2,2024-10-14
917,91,2024-02-22
918,2,2024-08-28
919,24,2024-03-17
920,34,2024-01-23
921,30,2024-04-22
922,64,2024-04-10
923,46,2024-06-12
924,88,2024-01-13
925,55,2024-08-10
926,43,2024-04-17
927,20,2024-01-31
928,85,2024-12-18
929,30,2024-08-06
930,10,2024-09-02
931,9,2024-05-22
932,71,2024-05-16
933,74,2024-07-25
934,62,2024-05-15
935,2,2024-12-18
936,78,2024-01-02
937,68,2024-05-18
938,87,2024-03-02
939,26,2024-10-13
940,16,2024-05-30
941,60,2024-10-04
942,1,2024-09-23
943,65,2024-01-09
944,20,2024-11-17
945,84,2024-07-14
946,17,2024-03-22
947,63,2024-06-14
948,39,2024-07-29
949,72,2024-11-11
950,18,2024-04-06
951,81,2024-03-28
952,78,2024-02-29
953,49,2024-12-05
954,21,2024-03-22
955,52,2024-11-19
956,90,2024-10-24
957,40,2024-07-07
958,41,2024-06-16
959,10,2024-01-28
960,11,2024-04-16
961,15,2024-11-12
962,89,2024-10-31
963,51,2024-01-12
964,64,2024-01-31
965,52,2024-05-02
966,12,2024-08-04
967,62,2024-04-09
968,53,2024-10-28
969,55,2024-04-05
970,67,2024-07-16
971,71,2024-11-24
972,40,2024-04-02
973,10,2024-09-12
974,22,2024-12-30
975,35,2024-09-15
976,52,2024-06-07
977,65,2024-11-24
978,59,2024-03-17
979,30,2024-11-04
980,35,2024-03-12
981,94,2024-02-01
982,64,2024-11-27
983,65,2024-06-29
984,54,2024-03-09
985,35,2024-02-23
986,71,2024-02-07
987,40,2024-08-22
988,5,2024-04-12
989,29,2024-07-27
990,1,2024-04-27
991,59,2024-12-14
992,3,2024-04-09
993,29,2024-08-06
994,15,2024-12-06
995,24,2024-05-07
996,6,2024-03-18
997,91,2024-11-20
998,73,2024-12-19
999,67,2024-06-02
1000,11,2024-04-10
